"시점",한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,타사,타사,타사,타사,타사,타사,타사,타사,타사,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,상용자가,상용자가,상용자가,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량
"시점",소계,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,복합화력,복합화력,집단,내연력,대체,원자력,소계,수력,수력,수력,기력(중유),복합화력,복합화력,복합화력,집단&대체,소계,수력,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,복합화력,복합화력,내연력,원자력,집단,대체,집단&대체,소계,한전구입,자가 소비,소계,수력,기력,내연력,원자력,복합화력,사업자+한전구입,사업자+상용자가
"시점",소계,소계,일반,양수,소계,무연탄,유연탄,중유,LNG,소계,일반,열공급,소계,소계,소계,소계,소계,소계,일반,소수력,소계,소계,일반,열공급,소계,소계,소계,일반,양수,소수력,소계,무연탄,유연탄,중유,LNG,소계,일반,열공급,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"1997.07",19365024,401012,-,-,8606145,-,-,-,-,2499798,-,-,-,62068,-,7796002,1039620,406793,-,-,263983,368843,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20404644,807805,8870128,62068,7796002,2868641,-,-
"1997.08",19615842,383843,-,-,8928200,-,-,-,-,2407090,-,-,-,67988,-,7828720,973897,232825,-,-,246601,494470,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20589738,616668,9174802,67988,7828720,2901560,-,-
"1997.09",17631684,293454,-,-,8325673,-,-,-,-,1831091,-,-,-,51786,-,7129680,700157,111324,-,-,136613,452221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18331841,404777,8462285,51786,7129680,2283312,-,-
"1997.10",18412911,233561,-,-,9508714,-,-,-,-,2562993,-,-,-,53632,-,6054010,824024,96038,-,-,216011,511975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19236935,329600,9724725,53632,6054010,3074968,-,-
"1997.11",18127511,272660,-,-,9279367,-,-,-,-,2347140,-,-,-,54457,-,6173887,797604,82527,-,-,281778,433298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18925115,355187,9561146,54457,6173887,2780438,-,-
"1997.12",18420486,347295,-,-,8395025,-,-,-,-,2055253,-,-,-,58870,-,7564042,922156,163955,-,-,327447,430755,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19342642,511250,8722472,58870,7564042,2486008,-,-
"1998.01",16796182,304607,52960,251647,7300480,449786,5478528,1138275,233891,1732343,646484,1085859,-,48913,-,7409840,450335,82251,79394,2857,-,368084,-,-,-,17246517,386858,132354,251647,2857,7300480,449786,5478528,1138275,233891,2100427,1014568,1085859,48913,7409840,-,-,-,...,269073,...,-,-,-,-,-,-,17515590,...
"1998.02",15877536,293682,61630,232052,8345810,292365,6127088,1754064,172293,1466689,592015,874674,-,47022,-,5724333,412985,83316,78740,4576,-,329669,-,-,-,16290521,376998,140370,232052,4576,8345810,292365,6127088,1754064,172293,1796358,921684,874674,47022,5724333,-,-,-,...,212223,...,-,-,-,-,-,-,16502744,...
"1998.03",17171266,341783,108886,232897,8551680,412555,6551537,1515938,71650,1423941,615647,808294,-,65115,-,6788747,449414,118018,111506,6512,-,331396,-,-,-,17620680,459801,220392,232897,6512,8551680,412555,6551537,1515938,71650,1755337,947043,808294,65115,6788747,-,-,-,...,226716,...,-,-,-,-,-,-,17847396,...
"1998.04",16520972,392304,196373,195931,7523118,459883,6088770,951292,23173,1119739,645456,474283,-,54126,-,7431684,442811,193671,184612,9059,-,249140,-,-,-,16963783,585975,380985,195931,9059,7523118,459883,6088770,951292,23173,1368879,894596,474283,54126,7431684,-,-,-,...,205829,...,-,-,-,-,-,-,17169612,...
"1998.05",16858164,434120,253541,180579,8195673,591326,6568393,1026622,9332,1422667,1045001,377666,-,58022,-,6747681,546708,256615,248728,7887,-,290093,-,-,-,17404872,690735,502269,180579,7887,8195673,591326,6568393,1026622,9332,1712760,1335094,377666,58022,6747681,-,-,-,...,175480,...,-,-,-,-,-,-,17580352,...
"1998.06",17101475,372834,173483,199351,7357013,534954,6030844,745888,45327,2149512,1678311,471201,-,47674,-,7174442,354979,195178,188064,7114,-,159801,-,-,-,17456454,568012,361547,199351,7114,7357013,534954,6030844,745888,45327,2309313,1838112,471201,47674,7174442,-,-,-,...,147831,...,-,-,-,-,-,-,17604285,...
"1998.07",17892872,370103,283082,87021,6643359,550869,5389683,481114,221693,2780198,1997875,782323,-,54986,-,8044226,519420,336188,323699,12489,-,183232,-,-,-,18412292,706291,606781,87021,12489,6643359,550869,5389683,481114,221693,2963430,2181107,782323,54986,8044226,-,-,-,...,318779,...,-,-,-,-,-,-,18731071,...
"1998.08",17579327,329680,290419,39261,6306832,593782,5105821,441600,165629,2594908,1743900,851008,-,54248,-,8293659,728163,534943,523507,11436,-,193220,-,-,-,18307490,864623,813926,39261,11436,6306832,593782,5105821,441600,165629,2788128,1937120,851008,54248,8293659,-,-,-,...,356721,...,-,-,-,-,-,-,18664211,...
"1998.09",17895159,217756,150845,66911,7687864,596874,6254278,643295,193417,2489696,1891583,598113,-,38233,-,7461610,341629,188228,178404,9824,-,153401,-,-,-,18236788,405984,329249,66911,9824,7687864,596874,6254278,643295,193417,2643097,2044984,598113,38233,7461610,-,-,-,...,289198,...,-,-,-,-,-,-,18525986,...
"1998.10",16830715,171663,105636,66027,6012622,537139,5261101,115415,98967,2183100,1575917,607183,-,34705,-,8428625,360202,229979,220592,9387,-,130223,-,-,-,17190917,401642,326228,66027,9387,6012622,537139,5261101,115415,98967,2313323,1706140,607183,34705,8428625,-,-,-,...,346735,...,-,-,-,-,-,-,17537652,...
"1998.11",17585916,163381,83476,79905,7196426,746772,5998801,354498,96355,2310279,2310279,-,-,31568,-,7884261,249384,140326,134539,5787,-,109058,-,-,-,17835300,303707,218015,79905,5787,7196426,746772,5998801,354498,96355,2419337,2419337,-,31568,7884261,-,-,-,...,383593,...,-,-,-,-,-,-,18218893,...
"1998.12",18701438,233255,45219,188036,7920701,743863,6297313,774627,104898,2206939,1131245,1075694,-,40679,-,8299864,242871,115152,109254,5898,-,127719,-,-,-,18944309,348407,154473,188036,5898,7920701,743863,6297313,774627,104898,2334658,1258964,1075694,40679,8299864,-,-,-,...,458317,...,-,-,-,-,-,-,19402626,...
"1999.01",18241905,181607,52112,129495,7777823,478689,6788155,400089,110890,2547429,1330277,1217152,-,24576,-,7710470,349465,128098,124967,3131,-,221367,-,-,-,18591370,309705,177079,129495,3131,7777823,478689,6788155,400089,110890,2768796,1551644,1217152,24576,7710470,-,-,-,...,418999,...,-,-,-,-,-,-,19010369,...
"1999.02",16311294,261415,47421,213994,6869754,445518,5547419,779077,97740,1743156,750023,993133,-,22062,-,7414906,213636,113709,112134,1575,-,99927,-,-,-,16524930,375125,159555,213994,1575,6869754,445518,5547419,779077,97740,1843083,849950,993133,22062,7414906,-,-,-,...,399587,...,-,-,-,-,-,-,16924517,...
"1999.03",18788681,323533,72512,251021,8632955,482965,6600003,1454902,95085,1759123,821419,937704,-,24560,-,8048510,253149,125741,120558,5183,-,127408,-,-,-,19041830,449274,193070,251021,5183,8632955,482965,6600003,1454902,95085,1886531,948827,937704,24560,8048510,-,-,-,...,394278,...,-,-,-,-,-,-,19436108,...
"1999.04",18049138,387150,154137,233013,8365721,547844,6296031,1455233,66613,1712178,1045571,666607,-,29240,-,7554850,271827,161567,150516,11050,-,110260,-,-,-,18320965,548717,304653,233013,11050,8365721,547844,6296031,1455233,66613,1822438,1155831,666607,29240,7554850,-,-,-,...,380396,...,-,-,-,-,-,-,18701360,...
"1999.05",18390832,299380,173587,125793,7975599,653150,5949446,1301901,71102,1431537,1044541,386996,-,32491,-,8651824,333071,222624,212969,9656,-,110447,-,-,-,18723904,522005,386556,125793,9656,7975599,653150,5949446,1301901,71102,1541984,1154988,386996,32491,8651824,-,-,-,...,269110,...,-,-,-,-,-,-,18993013,...
"1999.06",19079072,289025,167223,121802,8411930,537680,6368711,1385949,119590,2073158,1619891,453267,-,33603,-,8271355,383207,228706,220883,7823,-,154501,-,-,-,19462279,517731,388106,121802,7823,8411930,537680,6368711,1385949,119590,2227659,1774392,453267,33603,8271355,-,-,-,...,300587,...,-,-,-,-,-,-,19762866,...
"1999.07",20562776,216674,97244,119430,8625631,573731,6955897,916554,179449,3171695,2216646,955049,-,46804,-,8501971,444429,142205,131968,10236,-,302224,-,-,-,21007205,358879,229213,119430,10236,8625631,573731,6955897,916554,179449,3473919,2518870,955049,46804,8501971,-,-,-,...,448373,...,-,-,-,-,-,-,21455578,...
"1999.08",20370048,427228,295258,131970,7487967,592179,5908325,756670,230793,3001945,2132673,869272,-,48135,-,9404774,653029,407923,398027,9896,-,245106,-,-,-,21023077,835151,693285,131970,9896,7487967,592179,5908325,756670,230793,3247051,2377779,869272,48135,9404774,-,-,-,...,417026,...,-,-,-,-,-,-,21440104,...
