"시점","월별(1)",한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,타사,타사,타사,타사,타사,타사,타사,타사,타사,사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),상용자가,총발전량
"시점","월별(1)",소계,수력,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,원자력,신재생,집단,내연력,기타,소계,수력,수력,수력,기력,복합화력,신재생,집단,기타,소계,수력,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,원자력,신재생,집단,내연력,기타,한전구입,사업자+한전구입
"시점","월별(1)",소계,소계,일반,양수,소수력,소계,무연탄,유연탄,중유,LNG,소계,소계,소계,소계,소계,소계,소계,소계,일반,소수력,유연탄,소계,소계,소계,소계,소계,소계,일반,양수,소수력,소계,무연탄,유연탄,중유,LNG,소계,소계,소계,소계,소계,소계,소계,소계
"2017","4월",33240589,378089,50537,314478,13074,17105922,462381,16452195,191346,-,1876031,13301538,270178,259056,49775,-,8769194,133045,89553,43492,64326,4490241,1777330,2304252,-,42009783,511134,140091,314478,56566,17170248,462381,16516521,191346,-,6366272,13301538,2047508,2563307,49775,-,11829,42021612
"2017","5월",33996468,457306,78128,367704,11474,17575225,405831,17024443,144951,-,1733530,13670032,218199,280297,61880,-,8818159,149121,114853,34268,252005,4671241,1899834,1845958,-,42814627,606427,192981,367704,45743,17827229,405831,17276448,144951,-,6404771,13670032,2118033,2126254,61880,-,5436,42820063
"2017","6월",32474815,437561,67851,360569,9140,16885157,256351,16334113,294694,-,2238710,12493858,192414,196498,30616,-,10950051,126464,96760,29704,475799,6105599,1775433,2466756,-,43424866,564025,164611,360569,38845,17360956,256351,16809912,294694,-,8344309,12493858,1967847,2663255,30616,-,5520,43430386
"2017","7월",38434374,482430,156030,311432,14969,21240268,274802,20409147,556319,-,4012960,12223246,147539,276763,51168,-,11208970,156594,118466,38128,667268,6054032,1720131,2610945,-,49643344,639024,274496,311432,53097,21907535,274802,21076414,556319,-,10066993,12223246,1867669,2887708,51168,-,7751,49651095
"2017","8월",38235049,667020,217315,435068,14637,21849877,369087,21147470,333320,-,3109468,11914437,348333,288624,57291,-,10710217,301250,258287,42963,611934,5455721,1817936,2523376,-,48945266,968270,475602,435068,57600,22461810,369087,21759403,333320,-,8565189,11914437,2166269,2812000,57291,-,5855,48951121
"2017","9월",35201531,504595,70093,419742,14761,19915119,215171,19462697,237250,-,1991560,12332852,341207,91298,24900,-,8981336,169016,131965,37051,300899,4468738,1809573,2233110,-,44182867,673611,202057,419742,51812,20216018,215171,19763596,237250,-,6460298,12332852,2150780,2324408,24900,-,13050,44195917
"2017","10월",33344138,428783,50664,362831,15287,18495155,280495,18054688,159972,-,1887951,12108787,147514,231606,44343,-,9023421,138060,108496,29563,319809,4282120,1802445,2480987,-,42367559,566843,159161,362831,44851,18814964,280495,18374496,159972,-,6170071,12108787,1949959,2712593,44343,-,18967,42386526
"2017","11월",33797360,342942,50198,279294,13451,18285230,221807,17742441,320982,-,3214796,11291469,275519,347667,39737,-,12223289,108404,87958,20446,348245,6528453,1791146,3447041,-,46020649,451346,138156,279294,33897,18633475,221807,18090686,320982,-,9743249,11291469,2066665,3794708,39737,-,60114,46080764
"2017","12월",37732868,354137,52023,288810,13304,21464050,248312,20211420,1004318,-,4798655,10437833,289498,341636,47059,-,14117802,113371,93944,19427,743429,7115780,1865050,4280172,-,51850670,467508,145967,288810,32730,22207479,248312,20954849,1004318,-,11914436,10437833,2154548,4621808,47059,-,51164,51901834
"2018","1월",38943679,377928,60236,303237,14455,23083099,138529,21702042,1242528,-,4837297,9825819,385276,383758,50504,-,14347529,105900,88017,17883,800964,7271178,1832381,4337106,-,53291208,483828,148253,303237,32338,23884063,138529,22503006,1242528,-,12108475,9825819,2217656,4720864,50504,-,103006,53394215
"2018","2월",34098844,337397,56076,269444,11877,20466649,124209,19613591,728850,-,3842928,8791258,293671,320117,46824,-,12284495,102534,86518,16015,696014,6080264,1716809,3688874,-,46383339,439931,142594,269444,27892,21162663,124209,20309604,728850,-,9923192,8791258,2010480,4008991,46824,-,88962,46472301
"2018","3월",33762400,357509,43226,299355,14929,19372394,91053,18502444,778897,-,4130468,9243306,326910,291919,39894,-,13424204,105666,79653,26013,692648,7106248,1959142,3560501,-,47186604,463175,122878,299355,40942,20065042,91053,19195092,778897,-,11236716,9243306,2286051,3852420,39894,-,62176,47248780
"2018","4월",30333334,364430,71904,279209,13318,15945263,125856,15640045,179362,-,3851500,9422492,373563,333398,42687,-,12777879,134096,90974,43122,720992,6446255,2014390,3462147,-,43111213,498525,162877,279209,56440,16666255,125856,16361037,179362,-,10297755,9422492,2387953,3795545,42687,-,44228,43155441
"2018","5월",31954114,507871,178320,317243,12308,16214361,136674,15803952,273735,-,3338706,11368423,182183,288827,53744,-,12297133,283414,232342,51072,752607,6012312,1948606,3300194,-,44251247,791285,410662,317243,63380,16966968,136674,16556560,273735,-,9351017,11368423,2130789,3589020,53744,-,46683,44297930
"2018","6월",32007410,489511,159354,320731,9426,16493270,203983,16042218,247069,-,3203859,11303421,169287,292273,55790,-,12425844,242630,199401,43230,672400,6406567,1954108,3150139,-,44433255,732141,358755,320731,52656,17165670,203983,16714619,247069,-,9610426,11303421,2123395,3442412,55790,-,60898,44494153
"2018","7월",39137686,591989,178247,397162,16581,21369102,391382,20400154,577566,-,3617082,13052206,171357,280828,55121,-,12843945,216828,168812,48016,754059,6377037,2093399,3402622,-,51981631,808818,347059,397162,64597,22123161,391382,21154213,577566,-,9994119,13052206,2264756,3683450,55121,-,38407,52020038
"2018","8월",40724680,523142,77215,428818,17108,22694507,411523,21647283,635700,-,4023503,12752550,391433,293895,45651,-,12481022,177068,137142,39926,807075,6117017,2017572,3362290,-,53205702,700210,214358,428818,57034,23501581,411523,22454358,635700,-,10140520,12752550,2409005,3656184,45651,-,29282,53234984
"2018","9월",33373810,468617,76223,373797,18597,18793228,341558,18271642,180028,-,2385985,11074114,381246,231829,38791,-,10102919,244295,194991,49304,773036,4671613,1984136,2429839,-,43476729,712912,271213,373797,67901,19566264,341558,19044678,180028,-,7057598,11074114,2365382,2661668,38791,-,50561,43527290
"2018","10월",32745130,351536,48175,287747,15614,16724245,281785,16011208,431253,-,2984813,12082871,282093,290894,28678,-,12121948,157441,116389,41052,632044,5876353,2114385,3341725,-,44867078,508977,164565,287747,56665,17356289,281785,16643251,431253,-,8861166,12082871,2396478,3632619,28678,-,60363,44927441
"2018","11월",33617543,383315,70322,298330,14663,17254967,236031,16829421,189515,-,3056948,12158328,406632,322672,34680,-,12321606,147886,116658,31229,753426,5250386,1857001,4312906,-,45939149,531201,186979,298330,45891,18008393,236031,17582847,189515,-,8307334,12158328,2263633,4635579,34680,-,97675,46036823
"2018","12월",37628820,433988,82530,335961,15497,20251773,194458,19676571,380745,-,3860882,12430474,300151,315462,36089,-,14091681,165462,135678,29784,780163,6086406,2020944,5038707,-,51720501,599450,218208,335961,45281,21031937,194458,20456734,380745,-,9947287,12430474,2321094,5354169,36089,-,116610,51837111
"2019","1월",38316562,418380,62760,340555,15065,20999064,274232,20404389,320443,-,3836442,12256406,410342,351881,44046,-,14463990,126017,100508,25509,810038,6535187,2124546,4856368,11833,52780551,544397,163268,340555,40574,21809102,274232,21214427,320443,-,10371629,12256406,2534888,5208249,44046,11833,123238,52903789
"2019","2월",32651176,364620,53030,298794,12797,17563736,241826,17210115,111795,-,3013780,11033718,331726,302542,41055,-,12183107,106415,85582,20832,453900,5587235,1978084,4046852,10621,44834283,471035,138612,298794,33629,18017636,241826,17664015,111795,-,8601014,11033718,2309810,4349394,41055,10621,98119,44932402
"2019","3월",34058604,332419,45469,274567,12383,16056495,233613,15238326,584556,-,2880854,14033501,388670,324572,42094,-,13056151,118476,91409,27067,392963,5743267,2441536,4358955,955,47114756,450895,136878,274567,39450,16449458,233613,15631289,584556,-,8624120,14033501,2830206,4683527,42094,955,94519,47209275
"2019","4월",31205745,359916,63873,284553,11490,13342744,195426,13147318,-,-,2895734,14149570,380688,29602,47491,-,12672053,169836,135482,34354,544967,6250581,2260393,3439389,6887,43877798,529753,199355,284553,45844,13887712,195426,13692286,-,-,9146314,14149570,2641080,3468990,47491,6887,68055,43945853
"2019","5월",31857773,351017,82317,257825,10875,13609266,174555,13413611,21100,-,2704671,14771049,389091,-,32679,-,12437099,188830,149991,38839,763351,5760103,2691371,3022951,10493,44294871,539847,232308,257825,49714,14372617,174555,14176961,21100,-,8464773,14771049,3080461,3022951,32679,10493,39321,44334192
"2019","6월",32975751,309012,73906,222495,12611,16156864,226332,15928063,2469,-,2438585,13582797,392853,51800,43840,-,10763747,171561,132537,39024,670319,4986800,2268496,2657766,8806,43739498,480573,206443,222495,51635,16827183,226332,16598382,2469,-,7425385,13582797,2661349,2709566,43840,8806,53770,43793268
"2019","7월",36632642,411807,87797,306844,17166,20799367,274668,20470646,54053,-,3157627,11677950,383269,150694,51928,-,13072721,155289,120299,34990,755100,6648844,2341475,3164106,7907,49705363,567096,208095,306844,52157,21554466,274668,21225746,54053,-,9806471,11677950,2724744,3314800,51928,7907,34368,49739732
"2019","8월",38224995,441285,108905,314022,18359,21322120,270457,20948666,102997,-,3454847,12196916,604511,151171,54145,-,13378930,159466,118683,40783,761527,6662411,2450286,3333011,12229,51603925,600751,227587,314022,59142,22083648,270457,21710194,102997,-,10117258,12196916,3054797,3484182,54145,12229,37795,51641721
"2019","9월",33536839,422712,104442,299648,18622,19544597,183396,19340396,20805,-,2459976,10320798,593791,156006,38959,-,10801506,142845,107062,35783,479671,5430012,1824953,2911909,12115,44338345,565558,211504,299648,54406,20024268,183396,19820067,20805,-,7889988,10320798,2418745,3067914,38959,12115,123962,44462306
"2019","10월",32956456,352080,43887,290872,17320,18758148,136103,18502154,119892,-,2374266,10599853,561000,224930,86178,-,11541746,194159,161340,32819,370666,5482283,1662097,3365385,467156,44498202,546239,205227,290872,50140,19128814,136103,18872820,119892,-,7856549,10599853,2223097,3590316,86178,467156,131402,44629604
"2019","11월",32100227,337383,55911,267086,14386,17642258,171733,17448178,22348,-,3121926,10227944,431695,277508,61513,-,12886605,113983,88609,25374,524573,6601702,1521949,3677433,446965,44986832,451366,144520,267086,39760,18166831,171733,17972750,22348,-,9723628,10227944,1953644,3954941,61513,446965,177891,45164724
"2019","12월",34553168,376008,59933,301124,14952,17833411,209885,17141507,482019,-,4331239,11059168,560325,358033,34984,-,15566306,123546,95307,28239,763282,7930440,1533110,4845232,370696,50119474,499554,155240,301124,43190,18596693,209885,17904789,482019,-,12261679,11059168,2093435,5203266,34984,370696,163966,50283440
"2020","1월",34737992,401921,74252,312844,14825,17015148,229679,16608437,23371,153661,4463940,11898121,575236,350299,25877,7451,14950305,136604,95785,40819,802767,7247275,1401991,4872695,488974,49688298,538526,170037,312844,55645,17817915,229679,17411203,23371,153661,11711215,11898121,1977227,5222994,25877,496425,163078,49851376
"2020","2월",32574177,394299,62636,319588,12075,14780833,214361,14513010,10102,43360,3777122,12690402,598910,305685,23374,3552,13688636,133895,94110,39784,750861,6515430,1673018,4181286,434147,46262813,528194,156746,319588,51859,15531694,214361,15263871,10102,43360,10292552,12690402,2271928,4486971,23374,437699,186185,46448998
"2020","3월",31666663,372560,60797,302056,9707,12444011,103669,12305217,35125,-,3386004,14463259,672669,295406,25248,7505,14336532,161235,116540,44695,538273,6777443,2237382,4135800,486399,46003195,533795,177337,302056,54401,12982284,103669,12843489,35125,-,10163447,14463259,2910051,4431206,25248,493904,161733,46164928
"2020","4월",30816603,359189,53417,297160,8613,13448443,129360,13254117,64966,-,2312329,13688789,619708,350720,29962,7463,11300065,151887,113369,38519,653994,4499786,2452177,3078005,464216,42116669,511077,166785,297160,47132,14102437,129360,13908111,64966,-,6812115,13688789,3071885,3428726,29962,471678,138726,42255395
"2020","5월",31392127,378390,79817,286604,11968,13199462,203416,12979191,4681,12174,1875182,15257951,391646,256460,25961,7074,10058711,183915,132694,51221,702225,3854329,2219032,2605443,493768,41450839,562305,212511,286604,63189,13901687,203416,13681416,4681,12174,5729510,15257951,2610678,2861903,25961,500842,130525,41581363
"2020","6월",32817024,322388,84248,224858,13282,15230741,266268,14948507,-,15966,2595596,14069176,278709,280040,36005,4370,10803501,190278,142188,48090,551878,4899190,2127057,2460951,574147,43620525,512666,226436,224858,61373,15782619,266268,15500385,-,15966,7494786,14069176,2405765,2740991,36005,578517,209093,43829618
"2020","7월",34656944,351908,98115,236944,16848,17358225,274849,17071898,-,11477,2456440,13720945,465353,269350,27539,7185,11876711,260416,203622,56794,755233,5723093,1690678,2898214,549077,46533655,612324,301737,236944,73642,18113457,274849,17827131,-,11477,8179533,13720945,2156031,3167564,27539,556261,149795,46683450
"2020","8월",37028344,486106,196832,271733,17542,19152660,155300,18761178,121015,115167,3796792,12526259,682866,341251,39266,3144,13875049,588282,538536,49746,807338,6806697,2014383,3138279,520069,50903392,1074388,735368,271733,67287,19959998,155300,19568516,121015,115167,10603489,12526259,2697249,3479530,39266,523212,147518,51050911
"2020","9월",31732039,465670,199410,250835,15425,17490336,17746,16915898,515236,41455,3384824,9292564,734131,320488,40082,3945,12776450,414568,361959,52609,737858,6395332,1983887,2729017,515788,44508489,880238,561369,250835,68034,18228194,17746,17653756,515236,41455,9780155,9292564,2718018,3049505,40082,519733,90953,44599442
"2020","10월",29877629,320248,64207,243082,12959,12902403,10420,12771246,109619,11118,2396934,13468311,634746,110932,36319,7737,13159355,153731,119455,34276,723137,6996758,2262237,2919256,104236,43036984,473979,183662,243082,47235,13625540,10420,13494382,109619,11118,9393692,13468311,2896983,3030188,36319,111973,127491,43164475
"2020","11월",31262634,288517,55234,222581,10702,13114734,258801,12610811,245122,-,2901399,14048115,649519,210764,43054,6533,13620189,136221,106479,29742,754074,6442393,1963289,4202204,122008,44882823,424738,161713,222581,40445,13868808,258801,13364885,245122,-,9343792,14048115,2612808,4412968,43054,128541,49273,44932096
"2020","12월",35960067,360427,46669,302734,11024,14761797,230340,13974503,374707,182248,4686930,15059831,712653,321563,51986,4881,15517971,135593,105609,29984,749584,7568028,2015232,4933155,116379,51478038,496020,152278,302734,41008,15511381,230340,14724087,374707,182248,12254957,15059831,2727885,5254718,51986,121260,122070,51600108
